Kanal 2: f = 0.0 Hz, duty = 0.00 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.37 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.39 %
Kanal 2: f = 46.9 Hz, duty = 7.57 %
Kanal 2: f = 46.9 Hz, duty = 8.00 %
Kanal 2: f = 46.9 Hz, duty = 8.27 %
Kanal 2: f = 46.9 Hz, duty = 8.34 %
Kanal 2: f = 46.9 Hz, duty = 8.55 %
Kanal 2: f = 46.9 Hz, duty = 8.58 %
Kanal 2: f = 46.9 Hz, duty = 8.64 %
Kanal 2: f = 46.9 Hz, duty = 8.79 %
Kanal 2: f = 46.9 Hz, duty = 8.85 %
Kanal 2: f = 46.9 Hz, duty = 8.83 %
Kanal 2: f = 46.9 Hz, duty = 8.76 %
Kanal 2: f = 46.9 Hz, duty = 8.64 %
Kanal 2: f = 46.9 Hz, duty = 8.44 %
Kanal 2: f = 46.9 Hz, duty = 8.04 %
Kanal 2: f = 46.9 Hz, duty = 7.82 %
Kanal 2: f = 46.9 Hz, duty = 7.37 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.24 %
Kanal 2: f = 46.9 Hz, duty = 7.18 %
Kanal 2: f = 46.9 Hz, duty = 7.16 %
Kanal 2: f = 46.9 Hz, duty = 7.14 %
Kanal 2: f = 46.9 Hz, duty = 7.05 %
Kanal 2: f = 46.9 Hz, duty = 6.97 %
Kanal 2: f = 46.9 Hz, duty = 6.99 %
Kanal 2: f = 46.9 Hz, duty = 6.97 %
Kanal 2: f = 46.9 Hz, duty = 6.99 %
Kanal 2: f = 46.9 Hz, duty = 6.99 %
Kanal 2: f = 46.9 Hz, duty = 7.03 %
Kanal 2: f = 46.9 Hz, duty = 7.03 %
Kanal 2: f = 46.9 Hz, duty = 7.18 %
Kanal 2: f = 46.9 Hz, duty = 7.22 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.38 %
Kanal 2: f = 46.9 Hz, duty = 7.46 %
Kanal 2: f = 46.9 Hz, duty = 7.51 %
Kanal 2: f = 46.9 Hz, duty = 7.52 %
Kanal 2: f = 46.9 Hz, duty = 7.56 %
Kanal 2: f = 46.9 Hz, duty = 7.39 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.22 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.8 Hz, duty = 7.18 %
Kanal 2: f = 46.9 Hz, duty = 7.14 %
Kanal 2: f = 46.9 Hz, duty = 7.09 %
Kanal 2: f = 46.9 Hz, duty = 6.99 %
Kanal 2: f = 46.9 Hz, duty = 6.97 %
Kanal 2: f = 46.9 Hz, duty = 6.90 %
Kanal 2: f = 46.9 Hz, duty = 6.88 %
Kanal 2: f = 46.9 Hz, duty = 6.80 %
Kanal 2: f = 46.9 Hz, duty = 6.79 %
Kanal 2: f = 46.9 Hz, duty = 6.75 %
Kanal 2: f = 46.9 Hz, duty = 6.69 %
Kanal 2: f = 46.9 Hz, duty = 6.69 %
Kanal 2: f = 46.9 Hz, duty = 6.69 %
Kanal 2: f = 46.9 Hz, duty = 6.79 %
Kanal 2: f = 46.9 Hz, duty = 6.82 %
Kanal 2: f = 46.9 Hz, duty = 6.99 %
Kanal 2: f = 46.9 Hz, duty = 7.16 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.39 %
Kanal 2: f = 46.9 Hz, duty = 7.61 %
Kanal 2: f = 46.9 Hz, duty = 7.72 %
Kanal 2: f = 46.9 Hz, duty = 8.02 %
Kanal 2: f = 46.9 Hz, duty = 8.10 %
Kanal 2: f = 46.9 Hz, duty = 8.25 %
Kanal 2: f = 46.9 Hz, duty = 8.45 %
Kanal 2: f = 46.9 Hz, duty = 8.46 %
Kanal 2: f = 46.9 Hz, duty = 8.49 %
Kanal 2: f = 46.9 Hz, duty = 8.45 %
Kanal 2: f = 46.9 Hz, duty = 8.45 %
Kanal 2: f = 46.9 Hz, duty = 8.34 %
Kanal 2: f = 46.9 Hz, duty = 8.25 %
Kanal 2: f = 46.9 Hz, duty = 8.10 %
Kanal 2: f = 46.9 Hz, duty = 7.91 %
Kanal 2: f = 46.9 Hz, duty = 7.78 %
Kanal 2: f = 46.9 Hz, duty = 7.61 %
Kanal 2: f = 46.9 Hz, duty = 7.37 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 2: f = 46.9 Hz, duty = 7.24 %
Kanal 2: f = 46.9 Hz, duty = 7.03 %
Kanal 2: f = 46.9 Hz, duty = 6.88 %
Kanal 2: f = 46.9 Hz, duty = 6.84 %
Kanal 2: f = 46.9 Hz, duty = 6.75 %
Kanal 2: f = 46.9 Hz, duty = 6.64 %
Kanal 2: f = 46.9 Hz, duty = 6.60 %
Kanal 2: f = 46.9 Hz, duty = 6.43 %
Kanal 2: f = 46.9 Hz, duty = 6.39 %
Kanal 2: f = 46.9 Hz, duty = 6.30 %
Kanal 2: f = 46.9 Hz, duty = 6.20 %
Kanal 2: f = 46.9 Hz, duty = 6.15 %
Kanal 2: f = 46.9 Hz, duty = 6.11 %
Kanal 2: f = 46.9 Hz, duty = 6.11 %
Kanal 2: f = 46.9 Hz, duty = 6.02 %
Kanal 2: f = 46.9 Hz, duty = 5.96 %
Kanal 2: f = 46.9 Hz, duty = 5.96 %
Kanal 2: f = 46.9 Hz, duty = 6.00 %
Kanal 2: f = 46.9 Hz, duty = 6.37 %
Kanal 2: f = 46.9 Hz, duty = 6.60 %
Kanal 2: f = 46.9 Hz, duty = 6.88 %
Kanal 2: f = 46.9 Hz, duty = 7.27 %
Kanal 1: f = 0.0 Hz, duty = 0.00 %
Kanal 2: f = 46.8 Hz, duty = 7.74 %
Kanal 1: f = 8064.5 Hz, duty = 64.52 %
Kanal 1: f = 49.9 Hz, duty = 0.40 %
Kanal 2: f = 46.9 Hz, duty = 8.17 %
Kanal 1: f = 6250.0 Hz, duty = 42.50 %
Kanal 1: f = 96.9 Hz, duty = 0.66 %
Kanal 1: f = 4166.7 Hz, duty = 93.33 %
Kanal 1: f = 342.9 Hz, duty = 98.49 %
Kanal 1: f = 27777.8 Hz, duty = 55.56 %
Kanal 2: f = 46.9 Hz, duty = 8.44 %
Kanal 1: f = 62500.0 Hz, duty = 300.00 %
Kanal 1: f = 206.6 Hz, duty = 0.99 %
Kanal 1: f = 10000.0 Hz, duty = 56.00 %
Kanal 2: f = 46.9 Hz, duty = 8.44 %
Kanal 1: f = 55.9 Hz, duty = 82.48 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 8.60 %
Kanal 1: f = 58.1 Hz, duty = 0.19 %
Kanal 1: f = 20833.3 Hz, duty = 33.33 %
Kanal 2: f = 46.9 Hz, duty = 8.58 %
Kanal 2: f = 46.9 Hz, duty = 8.58 %
Kanal 2: f = 46.9 Hz, duty = 8.55 %
Kanal 2: f = 46.9 Hz, duty = 8.49 %
Kanal 2: f = 46.9 Hz, duty = 8.40 %
Kanal 2: f = 46.9 Hz, duty = 8.15 %
Kanal 2: f = 46.9 Hz, duty = 8.00 %
Kanal 2: f = 46.9 Hz, duty = 7.82 %
Kanal 2: f = 46.9 Hz, duty = 7.78 %
Kanal 2: f = 46.9 Hz, duty = 7.72 %
Kanal 1: f = 4.7 Hz, duty = 0.03 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 1: f = 62500.0 Hz, duty = 150.00 %
Kanal 1: f = 13888.9 Hz, duty = 33.33 %
Kanal 2: f = 46.9 Hz, duty = 7.42 %
Kanal 1: f = 85.4 Hz, duty = 0.14 %
Kanal 1: f = 7352.9 Hz, duty = 111.76 %
Kanal 1: f = 209.2 Hz, duty = 99.25 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.9 Hz, duty = 7.39 %
Kanal 1: f = 50.9 Hz, duty = 65.10 %
Kanal 1: f = 10869.6 Hz, duty = 56.52 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 1: f = 41666.7 Hz, duty = 66.67 %
Kanal 1: f = 35714.3 Hz, duty = 414.29 %
Kanal 1: f = 17857.1 Hz, duty = 78.57 %
Kanal 1: f = 62500.0 Hz, duty = 150.00 %
Kanal 1: f = 122.7 Hz, duty = 99.46 %
Kanal 1: f = 7812.5 Hz, duty = 90.62 %
Kanal 2: f = 46.9 Hz, duty = 7.48 %
Kanal 1: f = 31250.0 Hz, duty = 187.50 %
Kanal 1: f = 224.2 Hz, duty = 1.35 %
Kanal 1: f = 62500.0 Hz, duty = 325.00 %
Kanal 1: f = 281.8 Hz, duty = 99.55 %
Kanal 1: f = 25000.0 Hz, duty = 60.00 %
Kanal 2: f = 46.9 Hz, duty = 7.84 %
Kanal 1: f = 154.6 Hz, duty = 0.37 %
Kanal 1: f = 16666.7 Hz, duty = 73.33 %
Kanal 1: f = 31250.0 Hz, duty = 125.00 %
Kanal 1: f = 62500.0 Hz, duty = 700.00 %
Kanal 2: f = 46.9 Hz, duty = 8.34 %
Kanal 1: f = 22727.3 Hz, duty = 36.36 %
Kanal 1: f = 328.9 Hz, duty = 99.08 %
Kanal 1: f = 62500.0 Hz, duty = 200.00 %
Kanal 1: f = 17857.1 Hz, duty = 57.14 %
Kanal 2: f = 46.9 Hz, duty = 8.66 %
Kanal 1: f = 22727.3 Hz, duty = 654.55 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 1: f = 10416.7 Hz, duty = 50.00 %
Kanal 1: f = 4545.5 Hz, duty = 7.27 %
Kanal 1: f = 100.9 Hz, duty = 0.16 %
Kanal 2: f = 46.9 Hz, duty = 9.00 %
Kanal 1: f = 62500.0 Hz, duty = 875.00 %
Kanal 1: f = 62500.0 Hz, duty = 100.00 %
Kanal 2: f = 46.8 Hz, duty = 8.93 %
Kanal 1: f = 83.0 Hz, duty = 0.13 %
Kanal 1: f = 22727.3 Hz, duty = 54.55 %
Kanal 1: f = 31250.0 Hz, duty = 637.50 %
Kanal 1: f = 77.8 Hz, duty = 1.59 %
Kanal 2: f = 46.9 Hz, duty = 8.62 %
Kanal 1: f = 62500.0 Hz, duty = 150.00 %
Kanal 1: f = 13157.9 Hz, duty = 189.47 %
Kanal 1: f = 71.6 Hz, duty = 1.03 %
Kanal 2: f = 46.9 Hz, duty = 8.38 %
Kanal 1: f = 25000.0 Hz, duty = 120.00 %
Kanal 1: f = 41666.7 Hz, duty = 200.00 %
Kanal 1: f = 73.5 Hz, duty = 0.35 %
Kanal 2: f = 46.9 Hz, duty = 7.56 %
Kanal 1: f = 62500.0 Hz, duty = 175.00 %
Kanal 1: f = 41666.7 Hz, duty = 483.33 %
Kanal 1: f = 79.6 Hz, duty = 0.92 %
Kanal 1: f = 35714.3 Hz, duty = 142.86 %
Kanal 2: f = 46.9 Hz, duty = 7.25 %
Kanal 1: f = 7812.5 Hz, duty = 118.75 %
Kanal 1: f = 79.4 Hz, duty = 1.21 %
Kanal 1: f = 27777.8 Hz, duty = 111.11 %
Kanal 2: f = 46.9 Hz, duty = 6.92 %
Kanal 1: f = 27777.8 Hz, duty = 377.78 %
Kanal 1: f = 79.9 Hz, duty = 1.09 %
Kanal 1: f = 31250.0 Hz, duty = 150.00 %
Kanal 2: f = 46.9 Hz, duty = 6.68 %
Kanal 1: f = 13157.9 Hz, duty = 1778.95 %
Kanal 1: f = 71.1 Hz, duty = 9.61 %
Kanal 1: f = 31250.0 Hz, duty = 112.50 %
Kanal 2: f = 46.9 Hz, duty = 6.34 %
Kanal 1: f = 2577.3 Hz, duty = 7.22 %
Kanal 1: f = 77.6 Hz, duty = 10.15 %
